current_reward,current_battery,distance_to_goal,terminated,truncated
-0.79,73.69416876303826,0.42105263,False,False
-0.04,73.43443659931827,0.42105263,False,False
-0.79,73.17468943559828,0.42105263,False,False
-1.0,72.9149457718783,0.42105263,False,False
-0.04,72.65520660815831,0.42105263,False,False
-0.04,72.46041298536831,0.42105263,False,False
-0.04,72.2006783216483,0.42105263,False,False
-0.04,71.9409491579283,0.36842105,False,False
-0.25,71.6812219942083,0.42105263,False,False
-0.04,71.42148533048831,0.47368422,False,False
-0.04,71.22667720769833,0.47368422,False,False
-0.04,68.89002456749239,0.47368422,False,False
-0.79,68.56543436284238,0.47368422,False,False
-0.79,68.24083965819237,0.47368422,False,False
-1.0,67.85132441261237,0.47368422,False,False
-0.04,52.41779181674316,0.47368422,False,False
-0.04,52.15809415302316,0.47368422,False,False
-0.04,70.31755363467833,0.47368422,False,False
-0.25,51.573779284653156,0.47368422,False,False
-0.04,70.12273851188833,0.42105263,False,False
-0.25,50.989474416283166,0.47368422,False,False
-1.0,50.66485171163317,0.47368422,False,False
-0.04,50.34021800698317,0.47368422,False,False
-0.79,50.01558430233317,0.47368422,False,False
-0.04,49.69094609768317,0.42105263,False,False
-0.04,49.36632089303317,0.47368422,False,False
-0.79,49.04169218838317,0.47368422,False,False
-0.04,48.717070483733174,0.47368422,False,False
-0.04,20.188032466422857,0.42105263,False,False
-0.79,20.058150384562857,0.42105263,False,False
-0.79,19.863323261772855,0.42105263,False,False
-0.04,19.668496138982853,0.36842105,False,False
-0.04,19.473673016192855,0.31578946,False,False
-0.79,19.343800434332856,0.31578946,False,False
-0.79,19.148982311542856,0.31578946,False,False
-1.0,19.019108229682853,0.31578946,False,False
-0.79,18.88923414782285,0.31578946,False,False
-0.25,18.759361565962852,0.36842105,False,False
-0.79,18.629483484102852,0.36842105,False,False
-0.79,18.434659361312853,0.36842105,False,False
-1.0,18.239834738522852,0.36842105,False,False
-0.04,58.04801873218233,0.36842105,False,False
-1.0,57.528604404742325,0.36842105,False,False
-0.79,57.009190077302314,0.36842105,False,False
-1.0,56.48977874986231,0.36842105,False,False
-0.79,55.970362422422305,0.36842105,False,False
-0.79,55.515875635912295,0.36842105,False,False
-1.0,55.06139534940229,0.36842105,False,False
-1.0,54.606918062892284,0.36842105,False,False
-1.0,54.08749723545228,0.36842105,False,False
-1.0,53.633001448942274,0.36842105,False,False
-1.0,53.24344570336227,0.36842105,False,False
-0.25,17.13589754271285,0.36842105,False,False
-0.25,52.46433171220227,0.36842105,False,False
-1.0,52.07479796662226,0.36842105,False,False
-0.04,16.68131225620285,0.31578946,False,False
-1.0,16.48648713341285,0.31578946,False,False
-0.25,51.03603231174226,0.36842105,False,False
-0.25,16.096844387832853,0.36842105,False,False
-0.79,15.837076224112852,0.36842105,False,False
-1.0,15.577301560392852,0.36842105,False,False
-0.25,15.317528396672852,0.42105263,False,False
-1.0,15.122705773882851,0.42105263,False,False
-0.79,14.92788315109285,0.42105263,False,False
-0.25,14.73306102830285,0.36842105,False,False
-1.0,14.53823790551285,0.36842105,False,False
-0.25,14.34341478272285,0.42105263,False,False
-0.25,38.91365080330312,0.47368422,False,False
-0.25,38.52409405772312,0.47368422,False,False
-0.25,38.19947935307311,0.47368422,False,False
-0.25,37.874852148423095,0.47368422,False,False
-1.0,37.61515348470309,0.47368422,False,False
-1.0,37.420380861913095,0.47368422,False,False
-0.04,37.2256132391231,0.47368422,False,False
-0.25,37.0308471163331,0.47368422,False,False
-1.0,36.771151452613104,0.47368422,False,False
-1.0,36.511454788893104,0.47368422,False,False
-0.04,36.25175662517311,0.42105263,False,False
-0.79,35.99207296145311,0.42105263,False,False
-0.25,35.73239429773311,0.47368422,False,False
-0.04,35.472705134013104,0.42105263,False,False
-0.79,35.14809092936311,0.42105263,False,False
-0.25,34.82347522471311,0.42105263,False,False
-0.04,34.49885952006311,0.47368422,False,False
-0.25,34.1742423154131,0.42105263,False,False
-0.25,33.8496331107631,0.47368422,False,False
-1.0,33.525021906113096,0.47368422,False,False
-0.25,33.20039770146309,0.47368422,False,False
-0.25,32.875780496813086,0.47368422,False,False
-1.0,32.61608883309308,0.47368422,False,False
-1.0,32.35639416937308,0.47368422,False,False
-0.04,32.09670250565308,0.47368422,False,False
-0.25,31.772089301003078,0.47368422,False,False
-0.25,31.512400137283077,0.42105263,False,False
-0.25,31.187784432633077,0.47368422,False,False
-0.25,30.863171727983076,0.47368422,False,False
-0.25,30.603487064263078,0.42105263,False,False
-0.79,30.27887435961308,0.42105263,False,False
-0.25,30.01919619589308,0.47368422,False,False
-0.25,29.75950953217308,0.42105263,False,False
-1.0,29.499819368453082,0.42105263,False,False
-0.25,29.24013070473308,0.42105263,False,False
-1.0,29.045374081943077,0.42105263,False,False
-0.25,28.785687918223076,0.42105263,False,False
-0.25,28.590929795433073,0.47368422,False,False
-0.79,28.39616867264307,0.47368422,False,False
-0.25,28.13647450892307,0.42105263,False,False
-1.0,27.941714386133068,0.42105263,False,False
-0.25,27.682028222413066,0.47368422,False,False
-0.25,27.487267599623067,0.42105263,False,False
-0.25,27.227583435903068,0.47368422,False,False
-0.25,26.90296473125307,0.47368422,False,False
-0.25,26.643267567533073,0.47368422,False,False
-0.04,26.383575403813072,0.42105263,False,False
-0.04,26.058961199163072,0.42105263,False,False
-0.79,25.734341994513073,0.42105263,False,False
-0.25,25.409720789863073,0.47368422,False,False
-0.25,25.150017626143075,0.47368422,False,False
-0.25,24.955241003353077,0.42105263,False,False
-1.0,24.760466380563077,0.42105263,False,False
-0.79,24.565696757773075,0.42105263,False,False
-0.25,24.370926634983075,0.47368422,False,False
-0.25,24.176144012193078,0.42105263,False,False
-1.0,24.04629243033308,0.42105263,False,False
-1.0,23.85151730754308,0.42105263,False,False
-0.25,23.65674218475308,0.42105263,False,False
-0.25,23.397051021033082,0.47368422,False,False
-0.25,23.137359357313084,0.42105263,False,False
-0.25,22.877666193593083,0.47368422,False,False
-0.25,22.617964029873082,0.42105263,False,False
-1.0,22.35826836615308,0.42105263,False,False
-0.25,22.09857520243308,0.47368422,False,False
-0.25,21.838867538713078,0.47368422,False,False
-0.25,21.644081915923078,0.47368422,False,False
-0.25,21.38436825220308,0.47368422,False,False
-1.0,21.189588129413078,0.47368422,False,False
-0.25,20.99480300662308,0.47368422,False,False
-0.25,20.800023383833082,0.42105263,False,False
-1.0,20.670169301973083,0.42105263,False,False
-0.25,20.475385679183084,0.47368422,False,False
-0.25,20.280600056393087,0.47368422,False,False
-0.25,20.08581943360309,0.47368422,False,False
-0.25,19.891031310813087,0.47368422,False,False
-0.25,54.34500856589837,0.42105263,False,False
-1.0,54.15021944310837,0.42105263,False,False
-1.0,53.95542882031837,0.42105263,False,False
-1.0,53.76063969752837,0.42105263,False,False
